id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
225	Hydrogenovibrio crunogenus XCL-2	Hydrogenovibrio	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
226	Prochlorococcus marinus str. MIT 9312	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
227	Desulfovibrio alaskensis G20	Desulfovibrio	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
228	Myxococcus xanthus DK 1622	Myxococcus	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
229	Nitrobacter winogradskyi Nb-255	Nitrobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
230	Thiobacillus denitrificans ATCC 25259	Thiobacillus	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
231	Mycoplasma capricolum subsp. capricolum ATCC 27343	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
232	Nitrosococcus oceani ATCC 19707	Nitrosococcus	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
233	Bacteroides vulgatus ATCC 8482	Bacteroides	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
234	Parabacteroides distasonis ATCC 8503	Parabacteroides	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
235	Carboxydothermus hydrogenoformans Z-2901	Carboxydothermus	Firmicutes	Bacteria	Clostridia	0	0	0
236	Pelobacter carbinolicus DSM 2380	Pelobacter	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
237	Rhodobacter sphaeroides 2.4.1	Rhodobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
238	Geobacter metallireducens GS-15	Geobacter	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
239	Sulfurimonas denitrificans DSM 1251	Sulfurimonas	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
240	Hahella chejuensis KCTC 2396	Hahella	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
241	Erythrobacter litoralis HTCC2594	Erythrobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
242	Hyphomonas neptunium ATCC 15444	Hyphomonas	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
243	Salinibacter ruber DSM 13855	Salinibacter	Bacteroidetes	Bacteria	Bacteroidetes Order II. Incertae sedis	0	0	0
244	Rhodospirillum rubrum ATCC 11170	Rhodospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
